song_title,rating,rater_name,url
(Ik wil) Bamba,5,Miss B,simulated
(Ik wil) Bamba,4,Miss B,simulated
"1, 2, Doe met me mee",1,Mister A,simulated
"1, 2, Doe met me mee",8,Mister A,simulated
"1, 2, Doe met me mee",5,Miss B,simulated
1.000 Kleine Matroosjes,9,Miss B,simulated
1.000 Kleine Matroosjes,2,Miss B,simulated
10.000 luchtballonnen,9,Mister A,simulated
10.000 luchtballonnen,2,Miss B,simulated
10.000 luchtballonnen,8,Mister A,simulated
10.000 luchtballonnen,4,Mister A,simulated
Adem,2.5,Person C,simulated
Adem,1.5,Miss B,simulated
Adem,7.5,Mister A,simulated
Ali Baba,9,Person C,simulated
Ali Baba,9,Mister A,simulated
Ali Baba,7,Person C,simulated
Ali Baba,10,Person C,simulated
Ali Baba,4,Person C,simulated
Aliyee,9,Mister A,simulated
Aliyee,5,Mister A,simulated
Alle baby's,9,Person C,simulated
Alle baby's,6,Mister A,simulated
Alle baby's,9,Miss B,simulated
Alle Chinezen,4,Person C,simulated
Alle Chinezen,5,Person C,simulated
Alle Chinezen,2,Miss B,simulated
Alle Chinezen,9,Mister A,simulated
Alle Chinezen,1,Mister A,simulated
Alle Chinezen,7,Person C,simulated
Alle kleuren,6,Person C,simulated
Alle kleuren,8,Mister A,simulated
Alleen door jou,4.5,Mister A,simulated
Alleen door jou,6.5,Miss B,simulated
Alleen door jou,3.5,Person C,simulated
Alleen door jou,4.5,Miss B,simulated
Als het binnen regent,4,Miss B,simulated
Als het binnen regent,6,Miss B,simulated
Als het binnen regent,6,Person C,simulated
Als het regent,2,Miss B,simulated
Als het regent,6,Person C,simulated
Als het regent,9,Person C,simulated
Als het regent,4,Miss B,simulated
Als het regent,7,Miss B,simulated
Als het regent,2,Person C,simulated
Als het regent,4,Mister A,simulated
Als het regent,10,Mister A,simulated
Altijd blijven dromen,1,Person C,simulated
Altijd blijven dromen,2,Mister A,simulated
Altijd blijven dromen,5,Mister A,simulated
Altijd blijven dromen,4,Mister A,simulated
Altijd van je dromen,5,Person C,simulated
Antwoordapparaat,1,Person C,simulated
Antwoordapparaat,6,Miss B,simulated
Babouchka,7,Miss B,simulated
Babouchka,10,Mister A,simulated
Babouchka,1,Miss B,simulated
Babouchka,5,Mister A,simulated
Babouchka,9,Person C,simulated
Baby Boe,4,Miss B,simulated
Baby Boe,2,Person C,simulated
Baby Boe,2,Miss B,simulated
Baby Boe,2,Person C,simulated
Baby Come Back,6,Miss B,simulated
Baby Come Back,5,Mister A,simulated
Bambolaya,5,Mister A,simulated
Bambolaya,6,Mister A,simulated
Bambolaya,4,Mister A,simulated
Bambolaya,1,Miss B,simulated
Beautiful Boy,6,Person C,simulated
Beautiful Boy,8,Miss B,simulated
Beautiful Boy,4,Miss B,simulated
Beautiful Boy,2,Person C,simulated
Beautiful Boy,5,Person C,simulated
Beautiful Boy,8,Mister A,simulated
Beautiful Boy,2,Person C,simulated
Beest,1,Mister A,simulated
Beest,1.5,Person C,simulated
Bel me ringeling,1,Miss B,simulated
Bel me ringeling,7.5,Mister A,simulated
Bel me ringeling,2.5,Miss B,simulated
Bel me ringeling,2.5,Person C,simulated
Bel me ringeling,5.5,Person C,simulated
Bel me ringeling,1,Miss B,simulated
Ben ik dan zo anders,3.5,Person C,simulated
Beroemd,2.5,Miss B,simulated
Beroemd,4.5,Mister A,simulated
Beroemd,6.5,Miss B,simulated
Beroemd,6.5,Miss B,simulated
Beroemd,9.5,Person C,simulated
Beroemd,3.5,Mister A,simulated
Beroemd,5.5,Mister A,simulated
Beroemd,5.5,Miss B,simulated
Beroemd,5.5,Mister A,simulated
Bibliotheek,8,Person C,simulated
Bibliotheek,3,Mister A,simulated
Bij ons thuis,1,Miss B,simulated
Bij ons thuis,10,Mister A,simulated
Bikini vol zand,6,Mister A,simulated
Bikini vol zand,8,Mister A,simulated
"Billy, Billy",6,Miss B,simulated
"Billy, Billy",3,Mister A,simulated
"Billy, Billy",4,Mister A,simulated
Blankenberge,9.5,Person C,simulated
Blankenberge,8.5,Mister A,simulated
Blijven staan,2,Mister A,simulated
Blijven staan,9,Mister A,simulated
Blijven staan,9,Miss B,simulated
Boembiboem,9,Miss B,simulated
Boembiboem,9,Mister A,simulated
Boembiboem,9,Miss B,simulated
Borst vooruit,5,Mister A,simulated
Borst vooruit,10,Mister A,simulated
Borst vooruit,2,Miss B,simulated
Borst vooruit,9,Person C,simulated
